MACHUANDR,MAKHOA,TENCHUANDR,TOITHIEU
LO 1 ,7480101,Kiến thức nền tảng của ngành KHMT,60
LO 2,7480101,Kiến thức chuyên ngành và nâng cao của ngành KHMT,60
LO 3,7480101,Kỹ năng lập luận tư duy và giải quyết vấn đề,60
LO 4,7480101,Kỹ năng nghiên cứu và khám phá tri thức,60
LO 5,7480101,Kỹ năng về ngoại ngữ,60
LO 1 ,7480201,Nắm vững kiến thức về Công nghệ thông tin,60
LO 2,7480201,"Có kiến thức về dữ liệu, truyền thông, tri thức",60
LO 3,7480201,Khả năng lập trình và phát triển phần mềm,60
LO 4,7480201,"Có kiến thức về phân tích, tích hợp, và áp dụng cho chuyên môn",60
LO 5,7480201,Đạt trình độ anh văn theo quy định,60
